id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,ListingCount,availability_365
19102778,[F]River side great house,68367007,Euphy,,East Boston,42.370186928603395,-71.04156952613637,Entire home/apt,280,1,4,2017-08-01,1.02,8,3
19672185,3rd Floor Efficiency Perfect for City Explorers,16284736,Jordan,,East Boston,42.37479572809723,-71.03404083589552,Entire home/apt,127,1,28,2017-10-01,9.66,5,7
20148844,Newly furnished 2BR near airport w/ parking,45993690,Daniel,,East Boston,42.37741243984287,-71.03283719446632,Entire home/apt,109,2,12,2017-09-27,5.9,2,343
18612312,Great location in Boston,129278480,Jay,,East Boston,42.390509003893364,-71.00330983078693,Private room,50,5,0,,,4,40
14072256,E2 - Steps from Maverick Sq & Minutes from Logan,28820575,S.P,,East Boston,42.36947992644604,-71.03625960701709,Private room,80,1,145,2017-08-29,10.09,14,0
7880828,"Cozy Room near Logan Airport ,T",41542719,Ivan,,East Boston,42.37747087336046,-71.03033847489726,Private room,67,1,176,2017-10-03,6.77,3,344
11695285,Spacious 2Bdrm - Near Airport/Dntwn,14604394,Kate,,East Boston,42.37505927010074,-71.03432593425556,Entire home/apt,195,2,29,2017-09-23,1.55,1,16
8252058,"Two Bedroom apartment, East Boston",42838239,Nury,,East Boston,42.37208004957014,-71.03198308642574,Private room,78,1,225,2017-10-03,8.91,1,324
18755420,Sunny 2/1 Apt near subway. Great View,29383890,Alfonzo,,East Boston,42.36576915592613,-71.03720773406661,Entire home/apt,200,1,32,2017-08-27,7.8,1,111
12560987,3 Bedroom Condo by Subway & Harbor (60W3),3594203,Shawn,,East Boston,42.367126796179946,-71.03780591604058,Entire home/apt,99,1,72,2017-09-17,4.24,13,332
12233285,❤️ AIRBNB HOTEL #7,25938928,Ricardo,,East Boston,42.366928373912366,-71.04017264115883,Private room,30,1,114,2017-09-08,6.29,9,116
17448181,Spacious Modern 1 Bedroom/Kitchen,118102837,Rachel,,East Boston,42.37630477745902,-71.03269103341302,Entire home/apt,149,1,31,2017-09-25,4.45,1,335
20282569,Comfortable Room Close to Logan Airport & Subway,14890925,Natalia,,East Boston,42.36590291559295,-71.03662392845972,Private room,0,1,3,2017-09-28,2.5,1,270
3966772,Minutes to Boston-Near Beach 69-5,20551003,May,,East Boston,42.38484392857956,-71.00450782599401,Private room,58,1,31,2017-09-13,4.33,8,81
21134436,Cozy (front) Convenient Private bedroom by Airport,1114868,Charles,,East Boston,42.38074542911168,-71.02769909573601,Private room,62,1,0,,,4,48
16071749,"Cosy place, good for budget travelers",100430827,Zahid,,East Boston,42.37950235528923,-71.03213729552579,Private room,98,1,11,2017-06-14,1.05,1,362
11618815,East Boston waterfront with parking,61523768,James,,East Boston,42.366296044800386,-71.03800818271141,Private room,105,1,52,2017-09-25,2.83,1,298
19102654,(20) Near Airport and downtown,68367007,Euphy,,East Boston,42.371988750348216,-71.04268015549886,Private room,80,1,22,2017-09-10,5.45,8,3
17333101,Queen Bed/8 min walk Airport/Easy Access Downtown,117041226,Nader,,East Boston,42.36548970188512,-71.0300912212372,Private room,60,1,36,2017-10-02,5.32,5,51
19315157,Modern Comfort w/City View Near Airport & Downtown,74019501,Adam,,East Boston,42.3761781063241,-71.0330235057392,Private room,99,1,44,2017-10-03,12.57,1,335
18626944,East Boston - Private deck & perfect subway access,6953578,Ross,,East Boston,42.37583692530064,-71.03496414658696,Entire home/apt,100,3,21,2017-09-23,4.41,1,57
19593585,Charming bedroom close to downtown,42300377,Enzo,,East Boston,42.36847714871694,-71.03763471378885,Private room,75,1,9,2017-09-08,3.1,2,307
15857974,Cozy Apartment near Boston Airport,14685544,Susie & Mike,,East Boston,42.37946785947551,-71.02180520688951,Entire home/apt,120,1,66,2017-10-03,6.04,2,181
20886482,Boston Business Bungalow,146901798,Taylor,,East Boston,42.39037126800939,-71.00325582256002,Private room,125,1,3,2017-10-03,3,1,182
1178106,Cozy Room in Great Location Boston,1407005,Izzy & Joanne,,East Boston,42.37668853175393,-71.03428152050826,Private room,99,1,354,2017-09-19,6.65,4,79
16186033,One bedroom apartment near subway and airport,4095682,Steven,,East Boston,42.378062893887666,-71.03261199919977,Entire home/apt,75,3,0,,,1,0
20624939,East Boston One Bedroom Gem,50474139,Kat,,East Boston,42.36674035671497,-71.03786529734101,Entire home/apt,154,1,6,2017-10-03,6,4,64
10056496,Nice 4 bedrooms apartment,51354463,Andy,,East Boston,42.38953063489859,-71.00585742777379,Entire home/apt,250,2,39,2016-10-16,1.82,2,35
19102527,(19) Close to river side,68367007,Euphy,,East Boston,42.37160396092355,-71.04125078923099,Private room,60,1,20,2017-09-25,5.41,8,9
15071413,☆FABULOUS CONDO☆ minutes from downtown!,90606566,Rhiannon,,East Boston,42.36544399637144,-71.03184838888096,Entire home/apt,60,2,37,2017-10-02,2.94,3,153
19019981,"#3 Cozy private room near airport, downtown Boston",66665179,Zhenwei,,East Boston,42.39024754426362,-71.00897734368988,Private room,75,1,3,2017-06-30,0.86,5,0
19019919,"#2 Cozy private room near airport, downtown Boston",66665179,Zhenwei,,East Boston,42.38978813841651,-71.0073434665138,Private room,75,1,0,,,5,0
13908031,Modern Bedroom Near Airport + City,5997103,Andrea And Tivan,,East Boston,42.368600546948386,-71.03378639739479,Private room,115,2,45,2017-09-17,3,2,0
20871742,"Steps from Train, 7 min to downtown",17445484,Olsi,,East Boston,42.381173274203015,-71.0185825580895,Private room,65,1,0,,,1,0
11334091,Family-Friendly,55324394,Imelda,,East Boston,42.38080839671258,-71.03744226099319,Private room,75,1,54,2017-09-26,2.79,1,35
14168664,Classy 2 Bedrooms Apartment near Boston Airport,14685544,Susie & Mike,,East Boston,42.379418904421,-71.02152947940547,Entire home/apt,150,1,79,2017-09-27,5.51,2,124
19199379,Boston 3 bed  By Logan airport & train 2nd Floor,9073339,Elisangela,,East Boston,42.37768926296869,-71.03468224327777,Entire home/apt,250,1,26,2017-10-03,7.5,2,322
11498416,❤️ AIRBNB HOTEL #2,25938928,Ricardo,,East Boston,42.36777208310531,-71.03788730903814,Private room,30,1,130,2017-09-19,6.76,9,115
9711934,Only 7 minutes to downtown Boston,31375710,Olga,,East Boston,42.36740937325516,-71.0368160823019,Private room,79,1,95,2017-09-11,4.48,1,267
11498583,❤️ AIRBNB HOTEL #4,25938928,Ricardo,,East Boston,42.366149161371006,-71.03943971265693,Private room,30,1,135,2017-09-21,7.06,9,106
18609417,"Entire Home Near Beach, Airport, & Downtown",40384329,Mattye,,East Boston,42.3805919872716,-71.01567931506996,Entire home/apt,250,2,1,2017-05-14,0.21,2,100
6614984,Cozy/Stylish btwn Dwntwn & Airport,10136526,Paul,,East Boston,42.36948972206257,-71.03601135073212,Entire home/apt,129,1,46,2017-09-17,1.72,2,29
16150461,Newly Renovated Boston Apartment,84158814,Erik,,East Boston,42.38246613006334,-71.03188180059855,Entire home/apt,200,4,6,2017-08-11,1.73,1,51
19951522,☆ COZY | CONVENIENT Room in Modern Condo,90606566,Rhiannon,,East Boston,42.38378919217302,-71.01669876682931,Private room,50,21,0,,,3,72
11398953,Newly Renovated 3 Bedroom By Subway (60W2),3594203,Shawn,,East Boston,42.36798435376804,-71.03780897548134,Entire home/apt,99,1,50,2017-09-14,2.82,13,337
20933869,Cozy Room/12min walk Airport/Easy Access Downtown,117041226,Nader,,East Boston,42.36590905394416,-71.03607651491781,Private room,69,1,0,,,5,70
1141522,"5min to Downtown Boston, walk to T",1407005,Izzy & Joanne,,East Boston,42.37751972317198,-71.03418118024709,Private room,115,1,353,2017-09-19,6.6,4,80
15494066,Single-family house between Downtown & Airport,28839396,Zach,,East Boston,42.3664316005384,-71.03724286807666,Entire home/apt,220,2,9,2017-09-17,1.05,2,203
18508677,"Near to airport / downtown!
Private room and bath",96240572,Esther,,East Boston,42.372611902514265,-71.03463111263234,Private room,65,1,51,2017-09-27,9.94,2,146
7809904,Amazing view near Airport/Downtown,7956208,Ana,,East Boston,42.37005129551506,-71.04169710988216,Entire home/apt,120,1,59,2017-09-28,2.28,1,53
7678756,Gorgeous and Renovated Condo,25716111,Eric,,East Boston,42.37990035098189,-71.02960254011091,Entire home/apt,95,5,6,2017-05-22,0.25,1,0
19344027,Boston's best guests and hosts. New renovations.,135526680,Estera,,East Boston,42.37831351668867,-71.03815460421976,Entire home/apt,94,3,19,2017-09-28,5.7,1,52
15018607,CUTE 1 BEDROOM IN EAST BOSTON CLOSE TO AIRPORT,94792025,Cloe,,East Boston,42.36990184965975,-71.03772578899583,Entire home/apt,120,1,102,2017-10-02,7.93,1,306
9382898,"Private bedroom and Bathroom, Incredible Views",48677395,Andrew,,East Boston,42.37914284623583,-71.03956381332605,Private room,70,1,143,2017-09-27,7.02,1,323
15166391,"Perfect to Explore Boston
Private room/shared bath",96240572,Esther,,East Boston,42.37223962198836,-71.0351629745052,Private room,65,1,129,2017-09-29,10.69,2,141
2828803,Quiet & Charming Space,14471319,Lyndsay,,East Boston,42.37921949662193,-71.03329818314215,Entire home/apt,300,3,104,2017-04-18,2.66,1,336
18613633,Boston Airport/Subway,129278480,Jay,,East Boston,42.38848349661191,-71.0021227970042,Private room,50,5,1,2017-05-27,0.23,4,60
16148992,Cozy & Modern 1 Bed/1 Bath apt one block to subway,96804419,Doug,,East Boston,42.36861399655005,-71.03764261124627,Entire home/apt,127,2,24,2017-08-25,3.46,1,0
12233043,❤️ AIRBNB HOTEL #5,25938928,Ricardo,,East Boston,42.3683615395747,-71.03918341824999,Private room,30,1,136,2017-09-21,7.47,9,112
20499955,Private bedroom with an office,90216774,Yana,,East Boston,42.38229984310822,-71.02742412245493,Private room,64,2,1,2017-09-05,0.94,5,340
14936017,☆SPECTACULAR CONDO☆ minutes from downtown!,90606566,Rhiannon,,East Boston,42.36804467912674,-71.03820293759568,Entire home/apt,60,2,56,2017-09-27,4.33,3,58
19458014,Huge entire 3 bedrooms unit near airport& downtown,107338026,Xiao,,East Boston,42.388040291877594,-71.00887556584011,Entire home/apt,249,1,5,2017-08-30,1.47,1,0
5990808,City and Harbor views,10545148,Perla,,East Boston,42.36479683265739,-71.03031285214159,Entire home/apt,189,2,81,2017-08-20,2.78,1,0
11593592,Luxury Private Room with Organic Breakfast,40117482,Lana,,East Boston,42.3663865447592,-71.0332830858718,Private room,98,1,69,2016-09-27,3.94,1,0
20227983,[ H ] Great house near Downtown/Airport,68367007,Euphy,,East Boston,42.38965277321622,-71.00798461900729,Entire home/apt,260,1,0,,,8,12
13100828,Spacious 1bdr on the water,8739837,Ada,,East Boston,42.3691365107799,-71.04094378362562,Entire home/apt,125,1,22,2017-09-24,1.34,1,1
15524772,EA2 - Downtown Boston Cozy Spot mins from Logan,28820575,S.P,,East Boston,42.370407233754655,-71.03532329299784,Private room,60,1,91,2017-10-01,8.35,14,47
19310183,Awesome Family Spot  |  One Stop to Downtown!,18275791,Rob,,East Boston,42.36595169780142,-71.0318023818728,Entire home/apt,225,2,3,2017-08-09,1.08,1,5
14083611,E5 Post/PreFlight Relaxation,28820575,S.P,,East Boston,42.36800728987766,-71.03531795953359,Private room,80,1,156,2017-08-29,10.68,14,0
1042420,2 BR home easy access Airport and T,5715872,Joan And Charlotte,,East Boston,42.38362468405895,-71.02023225706048,Entire home/apt,160,2,70,2017-10-01,1.35,1,347
2778656,2bdrm Condo Near Train and Airport,14211557,Joshua,,East Boston,42.375106871980606,-71.03371266035359,Entire home/apt,100,5,10,2016-04-19,0.24,1,0
15525369,EA3 East Boston Easy Access,28820575,S.P,,East Boston,42.37231393704598,-71.03722648147313,Private room,60,1,47,2017-07-29,4.29,14,38
15525301,EC1 Comfy Spot Boston near Greenway,28820575,S.P,,East Boston,42.3709801584499,-71.03659927770424,Private room,80,1,87,2017-10-05,7.96,14,37
15525488,EC2 Small Office Near Airport & Greenway,28820575,S.P,,East Boston,42.372350968864644,-71.03524811862982,Private room,65,1,78,2017-09-27,7.24,14,45
20055667,Newly Renovated Private Bedroom Close to  Airport,15943555,Monya,,East Boston,42.3799335318874,-71.04061521815876,Private room,100,2,7,2017-09-28,3.62,3,68
2441095,Economical 2 Bedroom Condo Near Subway (88B),3594203,Shawn,,East Boston,42.38016341693651,-71.03585165649712,Entire home/apt,99,1,108,2017-09-14,2.51,13,350
20915446,Nice room near Airport and Downtown with Breakfast,73779661,Alexandr,,East Boston,42.365214667530196,-71.03648156263567,Private room,75,1,3,2017-10-01,3,4,125
15525006,EB3 Lovely Room near Greenway,28820575,S.P,,East Boston,42.372377679501106,-71.0363887315524,Private room,80,1,67,2017-09-28,6.28,14,44
18892243,★ Perfect For Big Groups | Near Subway + Downtown★,69587,Boris & Susan,,East Boston,42.37452273395079,-71.03780127795278,Entire home/apt,449,1,1,2017-09-15,1,5,219
10233104,❤️ AIRBNB HOTEL #1,25938928,Ricardo,,East Boston,42.36796442486891,-71.04085338561889,Private room,30,1,126,2017-09-20,6.51,9,116
17359540,Queen Suite/8min walk Airport/Easy Access Downtown,117041226,Nader,,East Boston,42.36566869450894,-71.03126431555592,Private room,90,1,91,2017-10-02,12.19,5,56
118905,Lotus (Luxury apartment),434539,Brahma,,East Boston,42.37932676415325,-71.03376093729794,Entire home/apt,115,7,18,2017-06-17,0.24,3,160
14918032,Luxurious and Spacious 2 BR Apt near train #1,44617326,Caroline,,East Boston,42.3770514059524,-71.0311886562327,Entire home/apt,359,1,16,2017-09-03,1.24,3,324
15524846,EB2 Comfy Spot East of Boston,28820575,S.P,,East Boston,42.370591146919516,-71.03518004773662,Private room,65,1,80,2017-07-29,7.43,14,0
3615760,Cozy apartment in ideal location,17000652,Richard,,East Boston,42.36735646665322,-71.03920033268635,Entire home/apt,89,1,119,2017-09-29,3.17,2,179
20783972,Charming large bedroom in Boston,14131690,Linda,,East Boston,42.36922842469526,-71.03710833861362,Private room,79,1,2,2017-09-15,1.82,2,143
18342707,★Clean | Cozy Bedroom - Close to Subway & Airport★,69587,Boris & Susan,,East Boston,42.37586000594762,-71.0371977133106,Private room,60,1,55,2017-10-03,10.51,5,153
13394184,East Boston Student Sublet $800/month,60246341,Seamus,,East Boston,42.36925900670464,-71.03613369483693,Private room,30,1,0,,,1,0
14065905,Best views in Boston - convenient to airport!,22088967,Jesse,,East Boston,42.36377440244673,-71.03009289205507,Entire home/apt,169,2,4,2017-08-20,0.27,2,62
17611434,❤️ AIRBNB HOTEL #9,25938928,Ricardo,,East Boston,42.366437031819736,-71.03838138989302,Private room,30,1,52,2017-09-18,7.46,9,116
14574647,"Spacious 4BR Near Airport, Subway, Beach + City",76660961,Annie,,East Boston,42.37961622626794,-71.02883622028128,Entire home/apt,200,1,29,2017-09-28,4.29,2,342
9273,"Stay at ""HARBORVIEW"" Walk to subway",4804,Frank,,East Boston,42.364608041638235,-71.02902055720352,Entire home/apt,225,3,14,2016-10-23,0.16,2,310
12345890,"Big 2 bedrooms near logan airport, downtown Boston",66665179,Zhenwei,,East Boston,42.388415645787795,-71.00760247928058,Entire home/apt,199,1,5,2017-08-28,0.94,5,0
19056046,Private room in convenient location.,123016732,Molly,,East Boston,42.39043717872241,-71.00983499944743,Private room,65,1,38,2017-09-30,9.58,1,157
17359335,Queen Room/8 min walk Airport/Easy Access Downtown,117041226,Nader,,East Boston,42.367105084350655,-71.03022863329778,Private room,60,1,108,2017-09-29,14.27,5,62
21176767,Logan Intl Airport - Boston,129278480,Jay,,East Boston,42.38903147571557,-71.00176943508964,Private room,40,7,0,,,4,293
14072546,E3 - Comfortable Room - Minutes to Logan,28820575,S.P,,East Boston,42.36919461060086,-71.03607045492096,Private room,73,1,168,2017-08-30,11.45,14,0
20268369,Large Private Bedroom Close to Airport,15943555,Monya,,East Boston,42.37821570520223,-71.03922742772693,Private room,0,3,2,2017-09-28,2,3,43
15343566,"Cozy Place in East Boston, close to Airport",16959054,Jillian,,East Boston,42.37145385920949,-71.0329494188071,Private room,100,1,50,2017-10-02,4.14,1,307
21023440,East Boston's Sweet Retreat #1,151404938,Rachael And Robert,,East Boston,42.37366597240988,-71.03598872570774,Private room,67,1,0,,,2,90
15536111,Room near Airport and Downtown with Breakfast,73779661,Alexandr,,East Boston,42.36655494618108,-71.03706022547668,Private room,75,1,140,2017-09-30,12.03,4,122
21176268,Big newly renovated 3 bedroom condo in East Boston,16352753,Carmen,,East Boston,42.37807780358588,-71.03866166140098,Entire home/apt,300,1,0,,,1,0
18488956,Newly Renovated Harborside Charmer - Near Airport,34536517,Jess,,East Boston,42.36444533731181,-71.03234201686942,Entire home/apt,150,1,41,2017-10-05,13.67,1,183
8134231,"2 bed, great location w/parking!",93916,Francine,,East Boston,42.37441280859101,-71.03399091110118,Entire home/apt,300,1,3,2016-09-19,0.12,2,9
13393418,*Spacious 1 Bedroom near Boston Airport/T/Downtown,76181684,Baljinder,,East Boston,42.37775680004031,-71.03474222341573,Entire home/apt,150,1,182,2017-10-03,12.38,1,329
238846,Blossom,434539,Brahma,,East Boston,42.38066057619219,-71.03503978822827,Entire home/apt,100,7,16,2017-09-21,0.22,3,29
16276965,"All New Renovation, Just for YOU - private room #2",91480383,Yasmina And Elizabeth,,East Boston,42.36982331811084,-71.03438390444968,Private room,70,2,58,2017-08-29,6,2,95
15719599,Sunny Room near Airport and Downtown w/Breakfast,73779661,Alexandr,,East Boston,42.365092070659216,-71.03646062294615,Private room,80,1,125,2017-09-25,11.03,4,146
13884549,Cozy private room conveniently located,12129722,Lais,,East Boston,42.366649609172754,-71.0378679479571,Private room,70,1,150,2017-10-05,10.07,1,234
17636554,"The Greenhouse, near Airport & Downtown",117334693,Madeleine,,East Boston,42.36671994515474,-71.03735668995144,Private room,60,2,22,2017-09-22,3.93,2,89
10411383,Spacious Boston 2 BR Apt near train and airport #2,44617326,Caroline,,East Boston,42.376947355304885,-71.03023023664814,Entire home/apt,250,1,11,2017-08-23,0.63,3,343
19209066,Boston Airport-Subway,129278480,Jay,,East Boston,42.38990669370264,-71.00154803438578,Private room,50,5,0,,,4,314
21011302,Stunning 1BR apartment with amazing sky line view,109554089,Chris,,East Boston,42.3695082364444,-71.0364991816953,Entire home/apt,86,1,1,2017-10-03,1,1,147
8624898,no-frills 3BR steps to airport & train,16284736,Jordan,,East Boston,42.375742670698116,-71.03180237149311,Entire home/apt,150,1,165,2017-09-18,6.79,5,114
18093265,Sweet and Cozy!,33844110,Julianna,,East Boston,42.37489945721503,-71.03301105100702,Private room,60,1,12,2017-07-09,2.08,1,0
7035556,Harborside Abode Next 2 Logan Airport/Train/Boston,15589117,Linda & Theresa,,East Boston,42.36382706230058,-71.02930344469218,Entire home/apt,150,2,28,2017-08-06,1.03,1,163
15374913,Bright Modern Home - Near Airport,51812879,Audrey,,East Boston,42.37693617954413,-71.03382776949017,Entire home/apt,229,1,109,2017-08-27,9.13,1,0
14522917,#2 New Modern 3BD Near Airport and 'T' to Downtown,75634340,Chris,,East Boston,42.378221376577315,-71.03031214548693,Entire home/apt,140,1,137,2017-09-26,9.88,2,303
10132073,Extended stays,51992629,Jef,,East Boston,42.37045480727794,-71.04025850654962,Entire home/apt,160,3,13,2017-07-18,0.84,1,348
5364137,**Studio by Airport and T Station**,23777641,Gavin,,East Boston,42.386187112481814,-71.00461976225016,Entire home/apt,70,21,67,2017-08-31,2.16,3,21
8231382,*** Sunny apartment *** near Airport & Train stop,23777641,Gavin,,East Boston,42.37671712966943,-71.03655030183927,Entire home/apt,99,3,80,2017-09-27,3.5,3,9
19798391,"Coming To Boston? Double Bedroom, On Boston Harbor",139698601,Jim,,East Boston,42.384351971205966,-71.00046158748073,Private room,75,1,27,2017-09-14,9.76,3,2
20710408,"Private 2+ bedroom brand new, close to airport T",148125025,Caroline,,East Boston,42.37303163414551,-71.03317808109685,Entire home/apt,257,1,0,,,3,170
5940866,"Sun filled room, minutes to Boston",12720679,Valerie,,East Boston,42.37619320490426,-71.0335403484729,Private room,75,2,213,2017-10-01,7.19,1,130
17365333,Private room near Airport and Downtown,117334693,Madeleine,,East Boston,42.36621370456226,-71.03608898548549,Private room,59,3,44,2017-09-21,6.29,2,100
10524612,Sunny 2/1 Modern Condo Near Subway (60W1),3594203,Shawn,,East Boston,42.3699654059797,-71.03987489674748,Entire home/apt,99,1,52,2017-09-16,2.6,13,324
13883902,1 bedroom apt close to EVERYTHING.,82187703,Mo,,East Boston,42.36890208726047,-71.03646555168768,Entire home/apt,125,2,20,2017-09-19,1.37,1,193
20666793,Cozy bedroom,90216774,Yana,,East Boston,42.38060936255258,-71.02706338034587,Private room,0,1,4,2017-09-18,4,5,336
14178758,Serene Eastie Retreat,18932946,Theresa,,East Boston,42.37199623859463,-71.03800736078841,Private room,85,1,71,2017-10-03,4.87,1,7
17962927,"Sunny Bedroom near Beach, Airport, & Downtown",40384329,Mattye,,East Boston,42.38194854614918,-71.0143815849323,Private room,100,1,36,2017-10-04,6.14,2,145
20518688,Cozy (back) Convenient Private bedroom by Airport,1114868,Charles,,East Boston,42.38080548451987,-71.02819988811154,Private room,72,1,10,2017-09-28,7.32,4,102
15500230,Entire apartment in East Boston,43052087,Susanne,,East Boston,42.37972785996995,-71.03424235514053,Entire home/apt,115,2,61,2017-09-28,6.56,1,19
20175220,2BD/2Bath Penthouse with city views& private deck,37785773,Blerina,,East Boston,42.3740063026886,-71.03680021451514,Entire home/apt,180,1,15,2017-10-04,6.92,2,106
20650166,Huge Multilevel Boston Brownstone 1 Bed Apartment,50474139,Kat,,East Boston,42.367003619212824,-71.03936291679265,Entire home/apt,110,1,5,2017-10-03,5,4,44
